,date,Unnamed: 0,Date (aggregated based on UTC),Raw_Moderated_cph,Raw_Mod_Coeff_of_Var,Raw_Mod_sqrt,Corrected_Mod_cph_for_Des,SWC_Des_cm3_cm3,Corrected_Mod_cph_for_UTS,SWC_UTS_cm3_cm3,Rhov_g_cm3,BaroPress_mb,SWC_5,WeightedTDR_SWC,WeightedTDR_SD,WeightedTDR_SE,sT_5,PRISM_ppt_mm,BaroPress,airRH,airT,date.1,CRNS,Bare,scaled_stationary_N_Des,scaled_stationary_N_UTS,N0,TDR_pore_swc_g,TDR_tot_swc_g,NewName,ND,doy_x,doy_y,min_temp_x,mean_temp,mean_P_mb,mean_RH,cumulative_GSI,GSI,VPD,year,min_temp_y,max_temp,GDD,cumulative_GDD,Bare_norm,Bare_norm7,VPD_kPa,N0_7,ND_7,VPD_7
200,2024-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,2024-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,2024-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2024-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,2024-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2024-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2024-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,2024-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,2024-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,2024-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,2024-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,2024-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,2024-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,2024-01-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2024-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,2024-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2024-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,2024-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2024-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2024-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2024-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,2024-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2024-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2024-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2024-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2024-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2024-02-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2024-02-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2024-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2024-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2024-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2024-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2024-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,2024-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,2024-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,2024-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,2024-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2024-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,2024-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,2024-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,2024-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,2024-02-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,2024-02-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,2024-02-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,2024-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,2024-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,2024-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,2024-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,2024-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,2024-03-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,2024-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,2024-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,2024-03-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2024-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,2024-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2024-03-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,2024-03-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,2024-03-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,2024-03-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,2024-03-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,2024-03-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,2024-03-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,2024-03-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,2024-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,2024-03-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2024-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,2024-03-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2024-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,2024-03-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,2024-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,2024-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2024-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2024-03-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2024-03-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2024-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2024-03-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,2024-03-29,321.0,,,,,,,,,,,,,,,,,,,,,,926.7643900823928,,,,,,R4,,89.0,,,,,,,,,,,,,,,,,,,
277,2024-03-30,322.0,,,,,,,,,,,,,,,,,,,,,,923.0406162766668,,,,,,R4,,90.0,,,,,,,,,,,,,,,,,,,
278,2024-03-31,323.0,,,,,,,,,,,,,,,,,,,,,,923.2283215624956,,,,,,R4,,91.0,,,,,,,,,,,,,,0.9510735307560098,,,,,
279,2024-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.0,-2.6,1.0930232558139534,781.1488372093023,76.37209302325581,0.0,0.0,156.21139959435902,2024.0,-2.6,7.8,1.4000000000000004,1.4000000000000004,,,0.15621139959435903,,,
280,2024-04-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.0,-3.8,2.0083333333333333,790.2229166666666,68.79166666666667,0.0,0.0,220.3502997754791,2024.0,-3.8,11.0,3.0,4.4,,,0.2203502997754791,,,
281,2024-04-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.0,-3.8,4.508333333333334,794.0583333333334,54.708333333333336,0.0,0.0,381.7280794594841,2024.0,-3.8,15.8,5.4,9.8,,,0.3817280794594841,,,
282,2024-04-04,141.0,2024-04-04,5076.291666666667,0.0099269422448644,100.75194091016716,2112.7634641197787,0.1881824313340495,2078.3195390590204,0.1596832275390625,3.072239716376922e-06,789.2145833333334,0.2098124999999999,0.2098124999999999,0.2410427099802381,0.1704429347826087,8.775,0.0,789.2145833333334,49.17291666666667,6.727083333333333,2024-04-04,0.1596832275390625,921.5761859189024,2808.765391716261,2762.974698007048,4789.598377032997,0.2070388090939059,0.259038809093906,R4,7412.780731365615,95.0,95.0,-3.8,6.508333333333333,788.3375,48.95,0.0,0.0,494.43631921950407,2024.0,-3.8,19.8,7.4,17.200000000000003,,,0.4944363192195041,,,
283,2024-04-05,142.0,2024-04-05,5385.979166666667,0.0096374956322438,103.77910642780024,2119.479055313823,0.1853604675978529,2085.6122694672863,0.1572176615397135,3.009520695678068e-06,782.38125,0.1970625,0.1970625,0.2230114870599812,0.1576929347826086,9.952083333333333,0.0,782.38125,34.764583333333334,10.670833333333334,2024-04-05,0.1572176615397135,923.0016881128648,2817.693281871066,2772.6698527793246,4744.071268288858,0.1944573622499511,0.2464573622499511,R4,7343.411612594262,96.0,96.0,1.4,10.483333333333333,781.4229166666668,34.55833333333333,0.4857142857142857,0.4857142857142857,830.0000803206049,2024.0,1.4,18.6,6.800000000000001,24.000000000000004,,,0.8300000803206049,,,
284,2024-04-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,-3.4,1.3583333333333334,778.3312500000001,73.88333333333334,0.4857142857142857,0.0,175.99682494879977,2024.0,-5.4,3.0,0.0,24.000000000000004,,,0.17599682494879976,,,
285,2024-04-07,324.0,,,,,,,,,,,,,,,,,,,,,,929.233770790921,,,,,,R4,,98.0,98.0,-7.8,-2.5083333333333333,785.81875,75.425,0.4857142857142857,0.0,124.81462973524482,2024.0,-7.8,5.0,0.0,24.000000000000004,,,0.12481462973524482,,,
286,2024-04-08,144.0,2024-04-08,5157.666666666667,0.0098471221322074,101.5604525782596,2110.4027165913008,0.1896923888608573,2081.485295702076,0.158911387125651,2.575292318750933e-06,786.99375,0.2285833333333333,0.2285833333333333,0.2675886770572831,0.189213768115942,6.591666666666666,0.0,786.99375,57.28125,0.25,2024-04-08,0.158911387125651,935.9644125698716,2805.626949543639,2767.1833412596493,4868.721999281903,0.2255614947252842,0.2775614947252842,R4,7508.155929988812,99.0,99.0,-7.4,0.0416666666666666,786.0979166666666,57.083333333333336,0.4857142857142857,0.0,262.9309588992773,2024.0,-7.4,8.6,1.7999999999999998,25.800000000000004,,,0.2629309588992773,,,
287,2024-04-09,145.0,2024-04-09,5077.583333333333,0.0099248597258539,100.76758879573832,2106.131119870543,0.1913101961871935,2079.135787403418,0.159515380859375,2.4074133844664533e-06,789.8145833333333,0.2139375,0.2139375,0.2468763409250271,0.1745679347826086,7.122916666666666,0.0,789.8145833333333,52.45,1.5875,2024-04-09,0.159515380859375,920.190923007942,2799.948172321111,2764.0598408257893,4793.542981539257,0.2111092771904797,0.2631092771904798,R4,7447.775411464243,100.0,100.0,-7.4,1.3666666666666665,788.8937500000001,52.23333333333333,0.4857142857142857,0.0,322.08641903187964,2024.0,-7.4,11.8,3.4000000000000004,29.200000000000003,0.9553112201175746,,0.3220864190318796,,,
288,2024-04-10,146.0,2024-04-10,5057.645833333333,0.0099440329727309,100.57081778490662,2133.2669496521025,0.1796399214735216,2100.367916344376,0.1523729960123697,2.903107761464483e-06,791.8125,0.199375,0.199375,0.2262818559229689,0.1600054347826087,8.629166666666666,0.0,791.8125,47.43333333333334,4.6312500000000005,2024-04-10,0.1523729960123697,923.1169950714316,2836.0232847794296,2792.286412315971,4786.2216206579415,0.1967392913343939,0.2487392913343939,R4,7407.764922134394,101.0,101.0,-3.0,4.408333333333333,790.7333333333332,47.24166666666667,0.4857142857142857,0.0,441.5518439064813,2024.0,-3.0,11.0,3.0,32.2,0.9532133356739219,,0.4415518439064813,,,
289,2024-04-11,147.0,2024-04-11,5093.083333333333,0.0099094167106466,100.92238312102496,2166.841874787918,0.165655323467737,2134.7622339414647,0.1410471598307291,2.784244109514219e-06,792.9354166666667,0.18475,0.18475,0.2055989825732624,0.1453804347826087,8.46875,0.0,792.9354166666667,49.14791666666667,4.70625,2024-04-11,0.1410471598307291,926.6827149529034,2880.658706279504,2838.0111565095417,4787.464741172097,0.1823076317192691,0.2343076317192691,R4,7403.60420152235,102.0,102.0,-5.4,4.508333333333334,791.9416666666666,48.95,0.4857142857142857,0.0,430.26057309453546,2024.0,-5.4,15.4,5.199999999999999,37.400000000000006,0.9500299707878619,,0.43026057309453547,,,
290,2024-04-12,148.0,2024-04-12,5161.729166666667,0.0098429987196491,101.6012959614822,2175.3519118340023,0.1624298287148586,2143.283575715925,0.1384620666503906,2.7700702084832047e-06,792.2166666666667,0.1713541666666666,0.1713541666666666,0.1866544133939729,0.1319846014492753,9.039583333333333,0.0,792.2166666666667,42.95,7.285416666666666,2024-04-12,0.1384620666503906,921.5404139843824,2891.972181707868,2849.339660752236,4734.705040166875,0.1690888893652444,0.2210888893652444,R4,7311.437209229319,103.0,103.0,-4.2,7.1000000000000005,791.2833333333333,42.75833333333333,0.4857142857142857,0.0,577.4302628305303,2024.0,-4.2,21.0,8.0,45.400000000000006,0.9504928087692028,,0.5774302628305303,,,
291,2024-04-13,149.0,2024-04-13,5222.458333333333,0.0097859772720125,102.19592382325573,2194.71496183375,0.1551191152325304,2152.7250532758603,0.1356277465820312,3.614286815393233e-06,791.1979166666666,0.1619791666666666,0.1619791666666666,0.1733961612467251,0.1226096014492753,10.7625,0.0,791.1979166666666,36.15208333333333,12.304166666666667,2024-04-13,0.1356277465820312,921.7948614764132,2917.7139486595324,2861.891418612201,4724.2145996066165,0.1598378255093951,0.2118378255093951,R4,7253.535074482858,104.0,104.0,2.6,12.1,790.1541666666667,35.975,1.1420500883466618,0.6563358026323761,903.930004572777,2024.0,2.6,19.4,7.199999999999999,52.60000000000001,0.9500393536110249,,0.903930004572777,,,
292,2024-04-14,150.0,2024-04-14,5268.9375,0.0097430463587296,102.64852878037306,2215.847058891832,0.1476939223480652,2181.210218020593,0.1275355021158854,2.9405266947268107e-06,790.5666666666666,0.1492916666666666,0.1492916666666666,0.1554533266741164,0.1099221014492753,11.2125,0.0,790.5666666666666,40.3625,9.477083333333333,2024-04-14,0.1275355021158854,925.6373067029616,2945.8075350354493,2899.760373784461,4694.810176007755,0.1473180524244792,0.1993180524244792,R4,7220.680342994105,105.0,105.0,-1.8,9.3,789.7270833333333,40.15,1.1706215169180902,0.0285714285714285,701.164498775516,2024.0,-1.8,22.2,8.6,61.20000000000001,0.9496808075721647,,0.701164498775516,,,0.4302065852974623
293,2024-04-15,151.0,2024-04-15,5657.916666666667,0.0094015528678951,106.37240693941534,2253.5780537243177,0.1349158050967771,2221.0892171742703,0.1168378194173177,2.708573163581756e-06,783.2770833333334,0.13725,0.13725,0.1384238383605404,0.0978804347826086,10.602083333333333,0.0,783.2770833333334,38.83541666666667,6.95625,2024-04-15,0.1168378194173177,933.784999598214,2995.968148980306,2952.776603277902,4699.033974086422,0.1354355748496329,0.1874355748496329,R4,7220.388909278041,106.0,106.0,-1.4,6.741666666666667,782.44375,38.641666666666666,1.256335802632376,0.0857142857142857,603.903995631446,2024.0,-1.4,15.4,5.199999999999999,66.4,0.9538803608754491,,0.603903995631446,,,0.46218462787153997
294,2024-04-16,152.0,2024-04-16,5207.166666666667,0.0098049598742327,102.0301180129118,2177.150394479864,0.1621835896096107,2120.078134189272,0.1461372375488281,4.991882770674993e-06,787.1020833333333,0.1360625,0.1360625,0.1367444597552224,0.0966929347826087,8.514583333333333,7.0413,787.1020833333333,84.43124999999999,3.38125,2024-04-16,0.1461372375488281,945.682998666492,2894.3631336052704,2818.489713672754,4532.274084860033,0.134263773427892,0.186263773427892,R4,6879.76799377479,107.0,107.0,-0.2,3.810526315789474,785.857894736842,80.14736842105263,1.513478659775233,0.2571428571428572,159.31321231593253,2024.0,-0.2,12.6,3.8000000000000007,70.2,0.9620733294747775,,0.15931321231593254,,,0.4578248359101438
295,2024-04-17,153.0,2024-04-17,5160.0625,0.009845279902562,101.58248866322732,2186.9811206753225,0.1580028629512807,2138.6965923878,0.1398709615071614,4.183532726549783e-06,789.13125,0.1501875,0.1501875,0.1567202263237423,0.1108179347826086,9.4125,0.6665,789.13125,59.052083333333336,7.712499999999999,2024-04-17,0.1398709615071614,929.0834637088724,2907.432369221168,2843.241599969183,4638.98490074431,0.1482020429707048,0.2002020429707048,R4,7088.971053096288,108.0,108.0,-1.4,7.5,788.1166666666667,58.825,1.5991929454895186,0.0857142857142857,426.8941352082711,2024.0,-1.4,19.0,7.0,77.2,0.9632552657602702,,0.42689413520827113,,,0.46105098274934286
296,2024-04-18,154.0,2024-04-18,5215.9375,0.009791785176479,102.13318387276256,2203.352628027701,0.1519531378306881,2156.5507919966726,0.1344629923502604,4.020609621837345e-06,788.8041666666667,0.1437916666666666,0.1437916666666666,0.1476751520810644,0.1044221014492753,10.545833333333333,0.0,788.8041666666667,43.13333333333333,10.74375,2024-04-18,0.1344629923502604,929.3028346888794,2929.1970977591764,2866.97746004526,4634.943183969295,0.1418907616290476,0.1938907616290476,R4,7081.122790308479,109.0,109.0,3.8,10.558333333333334,787.6854166666667,42.96666666666667,2.427764374060948,0.8285714285714285,726.9859871070133,2024.0,3.8,17.4,6.199999999999999,83.4,0.9617180074940862,,0.7269859871070133,,,0.47766167331273646
297,2024-04-19,155.0,2024-04-19,5258.6875,0.0097523830091169,102.54916772321828,2236.456249366238,0.1407556904236045,2180.56006355732,0.1278190612792968,4.749319703796244e-06,789.2104166666667,0.1361458333333333,0.1361458333333333,0.1368623108854201,0.096776268115942,10.283333333333331,1.3498,789.2104166666667,53.489583333333336,9.875,2024-04-19,0.1278190612792968,926.9603385638268,2973.2059551325688,2898.8960407028253,4656.268186564267,0.1343460051066106,0.1863460051066106,R4,7077.798558429561,110.0,110.0,4.6,9.691666666666666,788.0583333333334,53.29166666666666,3.3706215169180904,0.9428571428571428,561.8173287559674,2024.0,4.6,13.0,4.0,87.4,0.9552966542886658,,0.5618173287559675,,,0.45850576248669084
298,2024-04-20,156.0,2024-04-20,5184.0,0.0098219407887258,101.81987359934152,2240.1188146903246,0.1393490008417066,2174.844402472047,0.1292495727539062,5.558567618200066e-06,790.96875,0.1326666666666666,0.1326666666666666,0.1319420261996637,0.0932971014492753,9.891666666666667,0.46069998,790.96875,70.05,7.902083333333334,2024-04-20,0.1292495727539062,937.4882085420224,2978.0750694001617,2891.297484915709,4641.400014199632,0.1309128325201065,0.1829128325201066,R4,7019.910336414013,111.0,111.0,3.0,7.708333333333333,789.8020833333334,69.83333333333333,4.084907231203805,0.7142857142857143,317.245940930349,2024.0,3.0,14.2,4.6,92.0,0.9581792486892022,0.9558978310125416,0.31724594093034897,,,0.4685949850568015
299,2024-04-21,157.0,2024-04-21,5135.479166666667,0.0098690142534962,101.3395547037452,2243.9567766560426,0.1382729305152532,2200.2182234457964,0.1225611368815104,3.689412882460227e-06,794.2229166666666,0.1301041666666666,0.1301041666666666,0.1283181039460826,0.0907346014492753,10.239583333333334,0.34129998,794.2229166666666,53.17291666666667,7.620833333333334,2024-04-21,0.1225611368815104,931.3242758798772,2983.177360748485,2925.030134792047,4632.561594395046,0.1283842083995078,0.1803842083995078,R4,7071.7938886272095,112.0,112.0,-2.2,7.425,793.1583333333333,53.0,4.084907231203805,0.0,484.79293363729136,2024.0,-2.2,18.2,6.6,98.6,0.9588725469598648,0.9560514707137717,0.48479293363729137,4701.796221232246,7213.764758696033,0.49430772104980486
300,2024-04-22,158.0,2024-04-22,5342.9375,0.0096752821005954,103.36704111361878,2261.490310546183,0.1326132540483814,2220.678720461751,0.1171468098958333,3.404847930815461e-06,790.11875,0.1215625,0.1215625,0.1162383631008125,0.0821929347826087,11.275,0.0,790.11875,39.18541666666667,10.50625,2024-04-22,0.1171468098958333,916.5575643440258,3006.486919069359,2952.2308777486987,4611.1149847469005,0.1199554613308452,0.1719554613308452,R4,7036.101863496594,113.0,113.0,1.0,10.308333333333334,789.125,38.99166666666667,4.513478659775234,0.4285714285714285,764.7796420216071,2024.0,1.0,21.0,8.0,106.6,0.9553046838883094,0.9546251826941956,0.7647796420216071,4683.395720194033,7180.046611089446,0.5301540555585427
301,2024-04-23,159.0,2024-04-23,5448.083333333333,0.009580915369121,104.38118464144122,2279.764823161603,0.1266970445787217,2226.070670681698,0.1156272888183593,4.471262455127173e-06,789.0208333333334,0.1121249999999999,0.1121249999999999,0.1028917226059164,0.0727554347826086,12.222916666666668,0.0,789.0208333333334,40.53333333333333,13.572916666666666,2024-04-23,0.1156272888183593,920.7967195588344,3030.781554723738,2959.3990834796487,4581.846304251173,0.1106427237159568,0.1626427237159568,R4,6936.947628371975,114.0,114.0,5.8,13.4,787.9812499999999,40.333333333333336,5.5080650462216605,0.9945863864464266,917.323563371435,2024.0,5.8,21.8,8.8,115.4,0.9495799660491934,0.9546697051407456,0.917323563371435,4668.274528959169,7143.558912297141,0.5726709944399395
302,2024-04-24,160.0,2024-04-24,5498.520833333333,0.0095370668094474,104.86253126961071,2321.8188758582346,0.1144560034174316,2274.3411068834544,0.1040903727213541,3.869911427065224e-06,789.5520833333334,0.1031041666666666,0.1031041666666666,0.0901343377620091,0.0637346014492753,13.2125,0.0,789.5520833333334,37.02916666666667,13.641666666666666,2024-04-24,0.1040903727213541,916.6769352463554,3086.689359739157,3023.571118328342,4599.147209869948,0.1017411444946619,0.1537411444946619,R4,6967.795392951052,115.0,115.0,3.4,13.458333333333334,788.6083333333332,36.833333333333336,6.261453507929063,0.7533884617074021,974.8330477322578,2024.0,3.4,21.8,8.4,123.8,0.9445563344064569,0.9541963990136009,0.9748330477322578,4654.912071045741,7112.132517355473,0.6107625089989235
303,2024-04-25,161.0,2024-04-25,5768.979166666667,0.0093125649795121,107.403808006031,2353.3162296245405,0.1059756435599628,2310.052958091335,0.0962791442871093,3.471194351568919e-06,785.5291666666667,0.0932916666666666,0.0932916666666666,0.0762573671812231,0.0539221014492753,13.745833333333332,0.0,785.5291666666667,34.75625,12.314583333333331,2024-04-25,0.0962791442871093,914.9148963418942,3128.5628011782355,3071.047427650363,4584.505446986368,0.0920583643255397,0.1440583643255397,R4,6938.371154415749,116.0,116.0,2.6,12.133333333333333,784.6437500000001,34.550000000000004,6.913240633288988,0.6517871253599256,926.0800852038408,2024.0,2.6,19.0,7.0,130.8,0.9439929448355793,0.9533315342758493,0.9260800852038408,4640.414978603903,7078.9015854192885,0.6461781884353025
